Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Water Chestnut (सिंघाड़ा),Fruits,97,1.4,23.9,0.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, V. Increases K.",Good for urinary health.
Fig (अंजीर),Fruits,74,0.8,19,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Rich in fiber, relieves constipation."
Dates (खजूर),Fruits,282,2.5,75,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Energy booster, strengthening."
Raisins (किशमिश),Fruits,299,3.1,79,0.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Good for anemia, nourishing."
Apricot (खुबानी),Fruits,48,1.4,11,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Rich in Vitamin A.
Peach (आड़ू),Fruits,39,0.9,10,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Digestive and hydrating.
Plum (आलूबुखारा),Fruits,46,0.7,11.4,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Increases V, K.","Laxative, improves appetite."
Persimmon (तेंदू/जापानी फल),Fruits,70,0.6,19,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in antioxidants.
Lychee (लीची),Fruits,66,0.8,17,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Refreshing summer fruit.
Longan (लुगन),Fruits,60,1.3,15,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Used in Ayurveda for vitality.
Rambutan (रामबूटन),Fruits,68,0.9,16,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.","Exotic fruit, hydrating."
Mangosteen (मंगोस्तीन),Fruits,73,0.4,18,0.6,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Known as ‘queen of fruits’, antioxidant-rich."
Passion Fruit (कृष्णा फल),Fruits,97,2.2,23,0.4,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in Vitamin C.
Dragon Fruit (पिताया),Fruits,60,1.2,13,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.","Boosts immunity, cooling."
Kiwi (कीवी),Fruits,61,1.1,15,0.5,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.",Excellent Vitamin C source.
Avocado (एवोकाडो),Fruits,160,2,9,15,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Rich in healthy fats.
Olives (जैतून),Fruits,115,0.8,6,10.7,"Salty, Astringent (लवण, कषाय)",Heating (उष्ण),"Light, Oily (लघु, स्निग्ध)",Pungent (कटु),"Balances V. Increases P, K.",Used as food and oil source.
Currants (करेन्दा/करौंदा),Fruits,56,1.4,14,0.2,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.","Antioxidant-rich, tangy taste."
Elderberry (एल्डरबेरी),Fruits,73,0.7,18,0.5,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Immune boosting berry.
Goji Berry (गोजी बेरी),Fruits,349,14,77,0.4,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, P. Increases K.",Strength-giving tonic.
Sea Buckthorn (सी बकथॉर्न),Fruits,82,1.2,21,0.9,Sour (अम्ल),Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances K. Increases V, P.",Vitamin C powerhouse.
Cranberry (क्रैनबेरी),Fruits,46,0.4,12,0.1,Sour (अम्ल),Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Increases V, K.",Supports urinary tract health.
Blueberry (ब्लूबेरी),Fruits,57,0.7,14,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Rich in antioxidants.
Blackberry (ब्लैकबेरी),Fruits,43,1.4,10,0.5,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",High in fiber and vitamins.
Raspberry (रास्पबेरी),Fruits,52,1.2,12,0.7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Good for blood purification.
Strawberry (स्ट्रॉबेरी),Fruits,32,0.7,7.7,0.3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Rich in antioxidants.
Cherry (चेरी),Fruits,50,1,12,0.3,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, P. Increases K.",Helps in reducing inflammation.
Pomegranate (अनार),Fruits,83,1.7,19,1.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Tridoshic, balances all doshas.",Excellent for heart health.
Grapes (अंगूर),Fruits,69,0.7,18,0.2,Sweet (मधुर),Cooling (शीत),"Heavy, Moist (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.",Rich in antioxidants and hydrating.
Muskmelon (खरबूजा),Fruits,34,0.8,8.2,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.",Hydrating summer fruit.
Watermelon (तरबूज),Fruits,30,0.6,8,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Very cooling, hydrating."
Pineapple (अनानास),Fruits,50,0.5,13,0.1,"Sour, Sweet (अम्ल, मधुर)",Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances K. Increases P, V.",Good digestive fruit.
Banana (केला),Fruits,89,1.1,23,0.3,Sweet (मधुर),Cooling (शीत),"Heavy, Moist (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Strength-giving, nourishing."
Green Banana (कच्चा केला),Vegetables,122,1.3,32,0.3,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Used in curries, good fiber."
Apple (सेब),Fruits,52,0.3,14,0.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Keeps digestion healthy.
Pear (नाशपाती),Fruits,57,0.4,15,0.1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Hydrating and cooling.
Orange (संतरा),Fruits,47,0.9,12,0.1,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K. Can increase V.",Rich in Vitamin C.
Lemon (नींबू),Fruits,29,1.1,9,0.3,Sour (अम्ल),Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances K. Increases V, P.",Excellent detoxifier.
Sweet Lime (मौसंबी),Fruits,43,0.8,11,0.2,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.",Refreshing and hydrating.
Grapefruit (चकोतरा),Fruits,42,0.8,11,0.1,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.",Boosts immunity and digestion.
Tangerine (किंनू),Fruits,53,0.8,13,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K. Can increase V.","Rich in Vitamin C, seasonal."
Clementine (क्लेमेंटाइन),Fruits,47,0.9,12,0.2,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.","Small citrus, cooling."
Mandarin (मैंडरिन),Fruits,53,0.8,13,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K. Can increase V.","Juicy, immunity booster."
Pomelo (चकोतरा बड़ा),Fruits,38,0.8,10,0.04,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Can increase V, K.","Large citrus fruit, cooling."
Cluster Beans (गवार फली),Vegetable,16,3.2,10.8,1.4,Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.","Good for digestion, reduces cholesterol."
Ridge Gourd (तोरी),Vegetable,20,1,3.5,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. May increase V.","Mild laxative, cooling effect on body."
Sponge Gourd (घीया तोरी),Vegetable,17,0.6,4.3,0.2,Sweet (मधुर),Cooling (शीत),"Light, Soft (लघु, मृदु)",Sweet (मधुर),"Balances P, K. Slightly increases V.",Helps in detoxification.
Bitter Gourd Leaves (करैला पत्ता),Leafy Greens,35,3.5,5,0.2,Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Excellent for P, K. Increases V.","Blood purifier, controls blood sugar."
Pointed Gourd (परवल),Vegetable,20,2,3.4,0.3,Astringent (कषाय),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. May increase V.","Good for digestion, seasonal vegetable."
Snake Gourd (चिचिंडा),Vegetable,18,1,3.2,0.2,Bitter (तिक्त),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.",Good for fever and cough relief.
Yam (जिमीकंद),Root,118,1.5,27.5,0.2,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Pungent (कटु),"Balances V, K. Increases P.","Improves digestion, strength-giving."
Taro Root (अरबी),Root,142,2,34,0.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Good source of energy, slightly heavy to digest."
Elephant Foot Yam (सुरन),Root,120,2,27,0.3,Pungent (कटु),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V, K. Increases P.","Stimulates digestion, controls cholesterol."
Sweet Potato Leaves (शकरकंद पत्ते),Leafy Greens,45,4.2,8,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Slightly increases V.",Rich in antioxidants.
Tindora (कुंदरू),Vegetable,18,1.2,3.4,0.2,Astringent (कषाय),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. May increase V.",Supports blood sugar control.
Kohlrabi (गांठ गोभी),Vegetable,27,2,6,0.1,"Sweet, Pungent (मधुर, कटु)",Cooling (शीत),"Light, Crisp (लघु, खरा)",Sweet (मधुर),Balances P. Increases V slightly.,Good for digestion and immunity.
Colocasia Leaves (अरबी पत्ता/पातोड़),Leafy Greens,42,3,6.5,0.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases K, P.","Used in patra rolls, rich in iron."
Lotus Stem (कमल ककड़ी),Vegetable,74,4.1,17.2,0.1,Sweet (मधुर),Cooling (शीत),"Light, Crunchy (लघु, खरा)",Sweet (मधुर),"Balances P, K. May increase V.",Improves digestion and nourishes tissues.
Lotus Seeds (मखाना),Seed,347,9.7,76.9,0.1,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Slightly increases V.",Good for insomnia and kidney health.
Water Chestnut (सिंघाड़ा),Fruit/Seed,97,4,23.9,0.1,Sweet (मधुर),Cooling (शीत),"Heavy, Moist (गुरु, स्निग्ध)",Sweet (मधुर),Balances P. Increases K.,Hydrating and cooling.
Raw Banana (कच्चा केला),Vegetable,89,1.1,22.8,0.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Used in curries and chips.
Pumpkin Flowers (कद्दू फूल),Flower,20,1.2,3.5,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Rich in antioxidants and vitamins.
Banana Stem (केला थोर),Stem,27,0.8,6.2,0.1,Astringent (कषाय),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Slightly increases V.",Helps in kidney stones and detoxification.
Papaya Leaves (पपीता पत्ता),Leafy Greens,32,2,5,0.4,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases P, V.",Used for dengue recovery.
Papaya Flowers (पपीता फूल),Flower,40,2.5,7,0.2,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases P, V.",Supports liver health.
Banana Flower (केला फूल),Flower,51,1.6,9.9,0.6,"Astringent, Bitter (कषाय, तिक्त)",Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Pungent (कटु),"Balances P, K. Slightly increases V.","Used in South Indian cuisine, improves female health."
Neem Leaves (नीम पत्ता),Leafy Greens,35,3.2,5.5,0.2,Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Increases V.",Powerful blood purifier.
Drumstick Flowers (सहजन फूल),Flower,52,3,8.2,0.5,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K, V. Increases P.",Nutritious and enhances immunity.
Curry Leaves (करी पत्ता),Leafy Greens,108,6,18,1,"Bitter, Pungent (तिक्त, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances V, K. Increases P.",Good for digestion and hair health.
Betel Leaf (पान पत्ता),Leaf,44,3.1,6.1,0.4,"Astringent, Pungent (कषाय, कटु)",Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K. Increases V, P.","Improves digestion, freshens breath."
Raw Mango (कच्चा आम),Fruit,60,0.5,15,0.1,Sour (अम्ल),Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances V. Increases P, K.",Rich in Vitamin C.
Bael Fruit (बेल),Fruit,137,1.8,31,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, K. Increases P.","Good for digestion, constipation relief."
Jamun (जामुन),Fruit,60,0.7,15.6,0.2,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Increases V.","Controls blood sugar, improves digestion."
Phalsa (फालसा),Fruit,71,1.6,16,0.9,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Good for summer heat.
Karonda (करोंदा),Fruit,48,1.1,11,0.5,Sour (अम्ल),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances V. Increases P, K.","Used in pickles, vitamin-rich."
Wood Apple (कबैता),Fruit,140,2,30,1,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, K. Increases P.","Improves digestion, used in chutneys."
Starfruit (कमरख),Fruit,31,1,7,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Good for digestion, cooling effect."
Custard Apple Leaves (सीताफल पत्ता),Leaf,30,2,5,0.3,Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),Balances P. Increases V.,Medicinal properties for diabetes.
Indian Gooseberry Leaves (आंवला पत्ता),Leaf,40,3,6,0.4,"Sour, Bitter (अम्ल, तिक्त)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K.","Supports immunity, good for hair."
Roselle Leaves (गुड़हल पत्ता),Leaf,48,2.5,8.5,0.6,Sour (अम्ल),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances P, K. Slightly increases V.","Used in chutneys, rich in iron."
Roselle Flowers (गुड़हल फूल),Flower,60,3,12,0.4,"Sour, Bitter (अम्ल, तिक्त)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P, K.",Good for heart and blood pressure.
Banana Leaf (केला पत्ता),Leaf,10,0.3,2,0.1,Neutral,Cooling (शीत),Light (लघु),Neutral,Balances all doshas.,"Used for serving food, detoxifying."
Arjuna Bark (अर्जुन छाल),Bark,80,2,20,0.5,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),Heavy (गुरु),Pungent (कटु),"Balances P, K.",Supports heart health.
Harsingar Leaves (हरसिंगार पत्ता),Leaf,38,2.5,7,0.3,Bitter (तिक्त),Cooling (शीत),Light (लघु),Pungent (कटु),Balances P. Increases V.,Used in fevers and arthritis.
Giloy Stem (गिलोय),Stem,20,2,3,0.1,Bitter (तिक्त),Heating (उष्ण),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Immunity booster.
Triphala Powder (त्रिफला),Herbal Mix,300,2,70,2,"Bitter, Astringent, Sweet (तिक्त, कषाय, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,Detoxifies and rejuvenates.
Shatavari Root (शतावरी),Root,90,1.5,20,0.2,"Sweet, Bitter (मधुर, तिक्त)",Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P.",Rejuvenative for women.
Ashwagandha Root (अश्वगंधा),Root,95,2,22,0.3,"Bitter, Astringent (तिक्त, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, K. Increases P.","Strengthens body, reduces stress."
Barnyard Millet (सांवा),Grain,300,11.2,65.5,3.9,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Gluten-free, good for fasting."
Kodo Millet (कोदो),Grain,353,9.8,66.6,3.6,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Increases V.","Good for weight loss, diabetic-friendly."
Little Millet (कुटकी),Grain,329,9.3,67,4.7,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Easy to digest, good alternative to rice."
Foxtail Millet (कांगनी),Grain,351,12.3,63.2,3.3,Sweet (मधुर),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K. Increases V, P.","Boosts energy, diabetic-friendly."
Proso Millet (चेना),Grain,356,12.5,70.4,1.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Rich in antioxidants.
Finger Millet (रागी/मंडुआ),Grain,336,7.6,72,1.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances K. Increases V, P.","High in calcium, strengthens bones."
Buckwheat (कुट्टू),Pseudo-grain,343,13.2,71.5,3.4,Astringent (कषाय),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases P, V.","Used in fasting, gluten-free."
Amaranth Seeds (राजगीरा),Pseudo-grain,371,13.6,65.2,7,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","High in protein, rich in calcium."
Pearl Millet (बाजरा),Grain,378,11.6,67,5,Sweet (मधुर),Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V. Increases P, K.","Good in winter, strengthens body."
Sorghum (ज्वार),Grain,329,11,72,3.3,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P. Increases V, K.","Gluten-free, easy to digest."
Teff (टेफ),Grain,367,13,73,2.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Rich in iron and calcium.
Wild Rice (जंगली चावल),Grain,357,14.7,75,1.1,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K.",Nutritious rice substitute.
Red Rice (लाल चावल),Grain,360,7.5,76,2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Rich in iron, good for blood health."
Black Rice (काला चावल),Grain,356,8.9,75,3.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances P. Slightly increases K.,"Rich in antioxidants, used in festive foods."
Poha (Flattened Rice - पोहा),Grain Product,350,6.6,76.9,1.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Increases V.","Light breakfast food, easy to digest."
Dalia (Broken Wheat - दलिया),Grain Product,342,12,72,1.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances P, K. Slightly increases V.","Good for digestion, energy-giving."
Semolina (सूजी/रवा),Grain Product,360,12,72,1.2,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.","Used in halwa, upma."
Vermicelli (सेवई),Grain Product,370,11,75,1.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances P, K.",Common in desserts and breakfast.
Tapioca (साबूदाना),Grain Substitute,358,0.2,88,0.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases K, V.",Common in fasting foods.
Arrowroot Powder (अरारोट),Grain Substitute,357,0.3,88,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Soothes stomach, easy to digest."
Green Gram (मूंग दाल),Pulse,347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,"Very digestible, nourishing."
Black Gram (उड़द दाल),Pulse,341,25,59.6,1.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Strength-giving, heavy for digestion."
Masoor Dal (मसूर दाल),Pulse,352,24,60,1.1,Astringent (कषाय),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Increases V.","Rich in iron, easy to cook."
Toor Dal (अरहर दाल),Pulse,343,22,62,2.1,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K. Increases P.",Common in sambar and dals.
Chana Dal (चना दाल),Pulse,364,20,63,6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Strength-giving, energy-rich."
Whole Bengal Gram (काला चना),Pulse,360,19,61,6,Sweet (मधुर),Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V. Increases P, K.","Strengthens muscles, heavy for digestion."
Soybean (सोयाबीन),Pulse,446,36.5,30,20,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases P, K.","Rich protein source, hormone regulator."
Kidney Beans (राजमा),Pulse,333,24,60,1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Popular in North India, protein-rich."
Navy Beans (सफेद राजमा),Pulse,337,22,61,0.8,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P.","Mild flavor, nutritious."
Pigeon Pea Leaves (अरहर पत्ता),Leaf,50,4,8,0.4,Bitter (तिक्त),Cooling (शीत),Light (लघु),Pungent (कटु),"Balances K, P. Increases V.","Medicinal, used in traditional remedies."
Field Peas (हरी मटर),Pulse,81,5,14,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Common winter vegetable.
Black-eyed Peas (लोबिया),Pulse,336,23,60,1.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.","Rich in protein, iron."
Chickpeas (काबुली चना),Pulse,364,19,61,6,Sweet (मधुर),Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V. Increases P, K.","Used in hummus, chole."
Split Green Gram (मूंग दाल छिलका),Pulse,347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,Light for digestion.
Sprouted Moong (अंकुरित मूंग),Pulse,30,3,6,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,"Enzyme-rich, energizing."
Sprouted Chana (अंकुरित चना),Pulse,45,4,7,0.3,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K. Increases P.","Good for stamina, digestion."
Sprouted Moth Beans (अंकुरित मटकी),Pulse,50,4.5,9,0.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Nutritious sprouts, improves digestion."
Moth Beans (मटकी),Pulse,343,23,61,1.6,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, K. Increases P.",Popular in Maharashtrian cuisine.
Adzuki Beans (अजुकी बीन्स),Pulse,329,20,63,0.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Detoxifying bean, used in Asia."
Horse Gram (कुल्थी),Pulse,321,22,57,0.5,"Pungent, Astringent (कटु, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K. Increases V, P.",Traditional in weight loss diets.
Broad Beans (सेम फली),Pulse,341,26,58,1.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Rich in folate and protein.
Cluster Beans Seeds (गवार बीज),Pulse,345,23,60,1.2,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, P. Increases V.","Used in gum extraction, nutritious."
Velvet Beans (कौंच बीज),Pulse,332,23,59,1.4,Bitter (तिक्त),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases P, K.","Medicinal bean, aphrodisiac properties."
Lotus Seeds Roasted (भुने मखाने),Seed,350,9,77,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.","Snack, strengthens kidneys."
Flax Seeds (अलसी),Seed,534,18,29,42,Astringent (कषाय),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Rich in omega-3, laxative."
Chia Seeds (चिया बीज),Seed,486,16,42,30,Sweet (मधुर),Cooling (शीत),"Light, Oily (लघु, स्निग्ध)",Sweet (मधुर),"Balances P, V. Increases K.","Rich in fiber, hydrates body."
